	Player Type/name	MA	ST	AG	AV	Skills	Cost	Race/type nr.	General	Agility	Passing	Strength	Mutation	Qty
	1	2	3	4	5	6	7	8	9	10	11	12	13	14
1	Amazon Linewoman	6	3	3	7	Dodge	50000	Amazon 1	20	30	30	30	x	16
2	Amazon Thrower	6	3	3	7	Dodge, Pass	70000	Amazon 2	20	30	20	30	x	2
3	Amazon Catcher	6	3	3	7	Dodge, Catch	70000	Amazon 3	20	20	30	30	x	2
4	Amazon Blitzer	6	3	3	7	Dodge, Block	90000	Amazon 4	20	30	30	20	x	4
5	Amazon Journeywoman	6	3	3	7	Loner, Dodge	50000	Amazon 5	x	x	x	x	x	11
6	Beastman	6	3	3	8	Horns	60000	Chaos 1	20	30	30	20	20	16
7	Chaos Warrior	5	4	3	9		100000	Chaos 2	20	30	30	20	20	4
8	Chaos Minotaur	5	5	2	8	Loner, Frenzy, Horns, Mighty Blow, Thick Skull, Wild Animal	150000	Chaos 3	30	30	30	20	20	1
9	Chaos Journeyman	6	3	3	8	Loner, Horns	60000	Chaos 4	x	x	x	x	x	11
10	Hobgoblin	6	3	3	7		40000	Chaos Dwarf 1	20	30	30	30	x	16
11	Chaos Dwarf Blocker	4	3	2	9	Thick Skull,  Block,  Tackle	70000	Chaos Dwarf 2	20	30	30	20	30	6
12	Bull Centaur	6	4	2	9	Sprint, Sure Feet, Thick Skull	130000	Chaos Dwarf 3	20	30	30	20	x	2
13	Minotaur 	5	5	2	8	Loner, Frenzy, Horns, Mighty Blow, Thick Skull, Wild Animal	150000	Chaos Dwarf 4	30	30	30	20	30	1
14	Hobgoblin Journeyman	6	3	3	7	Loner	40000	Chaos Dwarf 5	x	x	x	x	x	11
15	Dark Elf Lineman	6	3	4	8		70000	Dark Elf 1	20	20	30	30	x	16
16	Dark Elf Runner	7	3	4	7	Dump-off	80000	Dark Elf 2	20	20	20	30	x	2
17	Dark Elf Assassin	6	3	4	7	Shadowing, Stab	90000	Dark Elf 3	20	20	30	30	x	2
18	Dark Elf Blitzer	7	3	4	8	Block	100000	Dark Elf 4	20	20	30	30	x	4
19	Witch Elf	7	3	4	7	Dodge,  Frenzy,  Jump Up	110000	Dark Elf 5	20	20	30	30	x	2
20	Dark Elf Journeyman	6	3	4	8	Loner	70000	Dark Elf 6	x	x	x	x	x	11
21	Dwarf Blocker	4	3	2	9	Thick Skull,  Block,  Tackle	70000	Dwarf 1	20	30	30	20	x	16
22	Dwarf Runner	6	3	3	8	Thick Skull,  Sure Hands	80000	Dwarf 2	20	30	20	30	x	2
23	Dwarf Blitzer	5	3	3	9	Thick Skull,  Block	80000	Dwarf 3	20	30	30	20	x	2
24	Troll Slayer	5	3	2	8	Thick Skull,  Block,  Frenzy,  Dauntless	90000	Dwarf 4	20	30	30	20	x	2
25	Deathroller	4	7	1	10	Loner, Br.Tckl, Dirty P., Juggernaut, Mght.B., No Hands, Secret Weapon, Stand Firm	160000	Dwarf 5	30	30	30	20	x	1
26	Dwarf Journeyman	4	3	2	9	Loner, Thick Skull,  Block,  Tackle	70000	Dwarf 6	x	x	x	x	x	11
27	Elf Lineman	6	3	4	7		60000	Elf 1	20	20	30	30	x	16
28	Elf Thrower	6	3	4	7	Pass	70000	Elf 2	20	20	20	30	x	2
29	Elf Catcher	8	3	4	7	Catch, Nerves of Steel	100000	Elf 3	20	20	30	30	x	4
30	Elf Blitzer	7	3	4	8	Block, Side Step	110000	Elf 4	20	20	30	30	x	2
31	Elf Journeyman	6	3	4	7	Loner	60000	Elf 5	x	x	x	x	x	11
32	Goblin	6	2	3	7	Right Stuff,  Dodge,  Stunty	40000	Goblin 1	30	20	30	30	x	16
33	Bombardier	6	2	3	7	Bombardier, Dodge, Secret Weapon, Stunty	40000	Goblin 2	30	20	30	30	x	1
34	Pogoer	7	2	3	7	Dodge, Leap, Stunty, Very Long Legs	70000	Goblin 3	30	20	30	30	x	1
35	Looney	6	2	3	7	Chainsaw, Secret, Weapon, Stunty	40000	Goblin 4	30	20	30	30	x	1
36	Fanatic 	3	7	3	7	Ball & Chain, No Hands, Secret Weapon, Stunty	70000	Goblin 5	30	30	30	20	x	1
37	Troll 	4	5	1	9	Loner, Always Hungry, Mighty Blow, Really Stupid, Regeneration, Throw Team-Mate	110000	Goblin 6	30	30	30	20	x	2
38	Goblin Journeyman	6	2	3	7	Loner, Right Stuff,  Dodge,  Stunty	40000	Goblin 7	x	x	x	x	x	11
39	Halfling	5	2	3	6	Right Stuff,  Dodge,  Stunty	30000	Hafling 1	30	20	30	30	x	16
40	Treeman 	2	6	1	10	Mght.B, Stand Firm, Strong Arm, Take Root, Thick Skull, Throw Team-Mate	120000	Hafling 2	30	30	30	20	x	2
41	Halfling Journeyman	5	2	3	6	Loner, Right Stuff,  Dodge,  Stunty	30000	Halfling 3	x	x	x	x	x	11
42	High Elf Lineman	6	3	4	8		70000	High Elf 1	20	20	30	30	x	16
43	High Elf Thrower	6	3	4	8	Pass, Safe Throw	90000	High Elf 2	20	20	20	30	x	2
44	High Elf Catcher	8	3	4	7	Catch	90000	High Elf 3	20	20	30	30	x	4
45	High Elf Blitzer	7	3	4	8	Block	100000	High Elf 4	20	20	30	30	x	2
46	High Elf Journeyman	6	3	4	8	Loner	70000	High Elf 5	x	x	x	x	x	11
47	Human Lineman	6	3	3	8		50000	Human 1	20	30	30	30	x	16
48	Human Catcher	8	2	3	7	Catch,  Dodge,	70000	Human 2	20	20	30	30	x	4
49	Human Thrower	6	3	3	8	Pass,  Sure Hands	70000	Human 3	20	30	20	30	x	2
